"filename", "language", "C#", "JSON", "Markdown", "CSS", "JavaScript", "ASP.NET Razor", "XML", "comment", "blank", "total"
"d:\codes\HotelManagementSystem\Controllers\BillsController.cs", "C#", 75, 0, 0, 0, 0, 0, 0, 1, 11, 87
"d:\codes\HotelManagementSystem\Controllers\ClassesController.cs", "C#", 24, 0, 0, 0, 0, 0, 0, 0, 7, 31
"d:\codes\HotelManagementSystem\Controllers\ClientsController.cs", "C#", 25, 0, 0, 0, 0, 0, 0, 0, 6, 31
"d:\codes\HotelManagementSystem\Controllers\RoomsController.cs", "C#", 42, 0, 0, 0, 0, 0, 0, 1, 9, 52
"d:\codes\HotelManagementSystem\Controllers\StuffController.cs", "C#", 24, 0, 0, 0, 0, 0, 0, 0, 7, 31
"d:\codes\HotelManagementSystem\Database.cs", "C#", 69, 0, 0, 0, 0, 0, 0, 0, 6, 75
"d:\codes\HotelManagementSystem\HotelManagementSystem.csproj", "XML", 0, 0, 0, 0, 0, 0, 32, 0, 6, 38
"d:\codes\HotelManagementSystem\Migrations\20240323014353_HMS3.3.Designer.cs", "C#", 147, 0, 0, 0, 0, 0, 0, 2, 51, 200
"d:\codes\HotelManagementSystem\Migrations\20240323014353_HMS3.3.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 3, 4, 30
"d:\codes\HotelManagementSystem\Migrations\HotelManagementContextModelSnapshot.cs", "C#", 145, 0, 0, 0, 0, 0, 0, 1, 51, 197
"d:\codes\HotelManagementSystem\Migrations\User\20240323051139_US1.0.Designer.cs", "C#", 210, 0, 0, 0, 0, 0, 0, 2, 70, 282
"d:\codes\HotelManagementSystem\Migrations\User\20240323051139_US1.0.cs", "C#", 236, 0, 0, 0, 0, 0, 0, 3, 24, 263
"d:\codes\HotelManagementSystem\Migrations\User\20240323101359_US1.1.Designer.cs", "C#", 210, 0, 0, 0, 0, 0, 0, 2, 70, 282
"d:\codes\HotelManagementSystem\Migrations\User\20240323101359_US1.1.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 3, 6, 23
"d:\codes\HotelManagementSystem\Migrations\User\20240323101514_US1.2.Designer.cs", "C#", 210, 0, 0, 0, 0, 0, 0, 2, 70, 282
"d:\codes\HotelManagementSystem\Migrations\User\20240323101514_US1.2.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 3, 6, 23
"d:\codes\HotelManagementSystem\Migrations\User\20240323101925_US1.3.Designer.cs", "C#", 216, 0, 0, 0, 0, 0, 0, 2, 72, 290
